Notes	ManualCheck	MergeInto	RenameKeyGroup	KeyParamGroup	KeyGroup	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	FlipAngle	HasFieldmap	ImageOrientation	KeyGroupCount	Modality	NSliceTimes	NumVolumes	Obliquity	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	1.0	1.0	1.0
				acquisition-VARIANTObliquityVoxelSizeDim1_datatype-anat_reconstruction-refaced_suffix-T1w__1	acquisition-VARIANTObliquityVoxelSizeDim1_datatype-anat_reconstruction-refaced_suffix-T1w	1	5	176	256	256	0.00302		8	False	RAS+	5	anat	0	1.0	False	0.75		2.6		False	1.0	1.0	1.0
				datatype-func_run-01_suffix-bold_task-rest__1	datatype-func_run-01_suffix-bold_task-rest	1	165	72	72	38	0.03	0.00051	80	False	LAS+	165	func	38	184.0	True	1.0	j-	2.5	0.036	False	3.0	3.0	3.33
				datatype-func_run-02_suffix-bold_task-rest__1	datatype-func_run-02_suffix-bold_task-rest	1	165	72	72	38	0.03	0.00051	80	False	LAS+	165	func	38	184.0	True	1.0	j-	2.5	0.036	False	3.0	3.0	3.33
				acquisition-VARIANTObliquity_datatype-func_run-02_suffix-bold_task-rest__1	acquisition-VARIANTObliquity_datatype-func_run-02_suffix-bold_task-rest	1	26	72	72	38	0.03	0.00051	80	False	LAS+	27	func	38	184.0	False	1.0	j-	2.5	0.036	False	3.0	3.0	3.33
				acquisition-VARIANTObliquity_datatype-func_run-02_suffix-bold_task-rest__2	acquisition-VARIANTObliquity_datatype-func_run-02_suffix-bold_task-rest	2	1	72	72	38	0.03	0.00051	80	False	LAS+	27	func	38	184.0	False	1.0	j-	2.5	0.036	False	3.0	3.0	3.441
				acquisition-VARIANTObliquity_datatype-func_run-01_suffix-bold_task-rest__1	acquisition-VARIANTObliquity_datatype-func_run-01_suffix-bold_task-rest	1	22	72	72	38	0.03	0.00051	80	False	LAS+	24	func	38	184.0	False	1.0	j-	2.5	0.036	False	3.0	3.0	3.33
				acquisition-VARIANTObliquity_datatype-func_run-01_suffix-bold_task-rest__2	acquisition-VARIANTObliquity_datatype-func_run-01_suffix-bold_task-rest	2	2	72	72	38	0.03	0.00051	80	False	LAS+	24	func	38	184.0	False	1.0	j-	2.5	0.036	False	3.0	3.0	3.441
				acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest__1	acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest	1	2	72	72	38	0.03	0.00051	80	False	LAS+	5	func	38	184.0	False	1.0	j-	2.5	0.036	False	3.0	3.0	3.663
				acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest__2	acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest	2	1	72	72	38	0.03	0.00051	80	False	LAS+	5	func	38	184.0	False	1.0	j-	2.5	0.036	False	3.0	3.0	3.552
				acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest__3	acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest	3	1	72	72	38	0.03	0.00051	80	False	LAS+	5	func	38	184.0	False	1.0	j-	2.5	0.036	False	3.0	3.0	3.885
				acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest__4	acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest	4	1	72	72	38	0.03	0.00051	80	False	LAS+	5	func	38	184.0	False	1.0	j-	2.5	0.036	False	3.0	3.0	3.774
				acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-02_suffix-bold_task-rest__1	acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-02_suffix-bold_task-rest	1	1	72	72	38	0.03	0.00051	80	False	LAS+	2	func	38	184.0	False	1.0	j-	2.5	0.036	False	3.0	3.0	3.663
				acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-02_suffix-bold_task-rest__2	acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-02_suffix-bold_task-rest	2	1	72	72	38	0.03	0.00051	80	False	LAS+	2	func	38	184.0	False	1.0	j-	2.5	0.036	False	3.0	3.0	3.996
				acquisition-VARIANTVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest__1	acquisition-VARIANTVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest	1	1	72	72	38	0.03	0.00051	80	False	LAS+	1	func	38	184.0	True	1.0	j-	2.5	0.036	False	3.0	3.0	3.663
